user_id,amount,platform,category,received_at,month
user_0001,6491.93,Freelancer.com,Accounting,2022-06-18,2022-06
user_0001,4501.07,Upwork,Web Development,2022-06-14,2022-06
user_0001,2861.98,Direct Client,UI/UX,2022-07-18,2022-07
user_0001,2861.49,Direct Client,Translation,2022-07-14,2022-07
user_0001,9797.66,Mostaql,SEO,2022-08-25,2022-07
user_0001,5408.6,Freelancer.com,Graphic Design,2022-09-09,2022-08
user_0001,2757.79,Freelancer.com,Video Editing,2022-09-11,2022-08
user_0001,368.47,Khamsat,Web Development,2022-09-10,2022-08
user_0001,1325.96,Freelancer.com,UI/UX,2022-10-11,2022-09
user_0001,2719.25,PeoplePerHour,Accounting,2022-10-08,2022-09
user_0001,2067.19,Freelancer.com,Web Development,2022-10-05,2022-09
user_0001,1402.03,Freelancer.com,SEO,2022-11-05,2022-10
user_0001,3854.6,Local Agency,Video Editing,2022-11-06,2022-10
user_0001,611.91,PeoplePerHour,Video Editing,2022-11-03,2022-10
user_0001,1177.97,Freelancer.com,Accounting,2022-12-18,2022-11
user_0001,2975.1,Mostaql,UI/UX,2022-12-18,2022-11
user_0001,430.88,Direct Client,Content Writing,2022-12-21,2022-11
user_0001,1375.28,Direct Client,Video Editing,2023-01-19,2022-12
user_0001,1709.52,Upwork,Mobile Dev,2023-01-21,2022-12
user_0001,90.6,PeoplePerHour,SEO,2022-12-29,2022-12
user_0001,36.29,PeoplePerHour,Mobile Dev,2023-02-18,2023-01
user_0001,1604.18,Local Agency,SEO,2023-02-16,2023-01
user_0001,1818.32,Local Agency,Content Writing,2023-02-16,2023-01
user_0001,5370.6,Toptal,Accounting,2023-03-06,2023-02
user_0001,1180.8,PeoplePerHour,Mobile Dev,2023-03-10,2023-02
user_0001,13694.29,Mostaql,Content Writing,2023-03-31,2023-03
user_0001,3072.52,Toptal,Accounting,2023-04-22,2023-03
user_0001,1211.7,Khamsat,UI/UX,2023-05-13,2023-04
user_0001,62.03,Freelancer.com,UI/UX,2023-04-27,2023-04
user_0001,4255.15,Khamsat,Video Editing,2023-05-21,2023-04
user_0001,9245.09,Khamsat,UI/UX,2023-06-19,2023-05
user_0001,5958.31,Khamsat,UI/UX,2023-07-16,2023-06
user_0001,4472.19,Upwork,Accounting,2023-08-12,2023-07
user_0001,1910.67,Local Agency,Web Development,2023-08-05,2023-07
user_0001,4603.04,Khamsat,Mobile Dev,2023-09-19,2023-08
user_0001,3695.68,Direct Client,Accounting,2023-08-26,2023-08
user_0001,1495.0,Freelancer.com,Translation,2023-08-27,2023-08
user_0001,1128.82,Mostaql,Translation,2023-09-28,2023-09
user_0001,6292.24,Mostaql,Data Analysis,2023-10-11,2023-09
user_0001,1713.69,Direct Client,Data Analysis,2023-11-10,2023-10
user_0001,1280.93,PeoplePerHour,Translation,2023-11-05,2023-10
user_0001,3038.8,Local Agency,Graphic Design,2023-11-09,2023-10
user_0001,293.46,Direct Client,Web Development,2023-12-11,2023-11
user_0001,16416.83,Upwork,Mobile Dev,2023-11-25,2023-11
user_0001,16002.27,Local Agency,Mobile Dev,2023-12-31,2023-12
user_0001,2396.2,Mostaql,Accounting,2024-01-09,2023-12
user_0001,10222.77,Direct Client,Graphic Design,2024-02-04,2024-01
user_0001,10062.56,Upwork,Graphic Design,2024-03-06,2024-02
user_0001,4616.02,Direct Client,Mobile Dev,2024-03-25,2024-03
user_0001,2266.31,Local Agency,Content Writing,2024-03-28,2024-03
user_0001,8581.58,Local Agency,UI/UX,2024-04-23,2024-04
user_0002,3108.99,PeoplePerHour,Accounting,2022-06-07,2022-06
user_0002,1800.22,Khamsat,UI/UX,2022-07-07,2022-07
user_0002,1396.94,Khamsat,Translation,2022-07-05,2022-07
user_0002,4380.81,Direct Client,Content Writing,2022-08-20,2022-07
user_0002,11421.33,Local Agency,Graphic Design,2022-09-02,2022-08
user_0002,2716.35,Khamsat,SEO,2022-10-08,2022-09
user_0002,1254.73,Local Agency,Mobile Dev,2022-10-14,2022-09
user_0002,1363.22,Mostaql,SEO,2022-10-13,2022-09
user_0002,7153.49,Freelancer.com,Data Analysis,2022-11-02,2022-10
user_0002,330.19,Toptal,Video Editing,2022-11-22,2022-10
user_0002,114.89,Khamsat,Accounting,2022-12-07,2022-11
user_0002,385.11,Local Agency,Content Writing,2022-12-16,2022-11
user_0002,5193.48,Toptal,Translation,2023-01-21,2022-12
user_0002,2175.86,Toptal,Mobile Dev,2023-02-03,2023-01
user_0002,670.87,Toptal,Web Development,2023-02-20,2023-01
user_0002,2865.41,Local Agency,SEO,2023-02-06,2023-01
user_0002,72.03,Local Agency,Web Development,2023-03-02,2023-02
user_0002,1087.77,PeoplePerHour,Graphic Design,2023-03-02,2023-02
user_0002,1987.1,Upwork,Content Writing,2023-04-11,2023-03
user_0002,1576.85,Mostaql,Graphic Design,2023-04-10,2023-03
user_0002,5448.01,Toptal,Graphic Design,2023-05-19,2023-04
user_0002,1424.57,PeoplePerHour,Translation,2023-06-08,2023-05
user_0002,1958.03,Upwork,Accounting,2023-06-13,2023-05
user_0002,330.97,Direct Client,Data Analysis,2023-05-29,2023-05
user_0002,6231.02,Freelancer.com,Translation,2023-06-29,2023-06
user_0002,3676.59,Upwork,Data Analysis,2023-08-05,2023-07
user_0002,1480.27,Mostaql,Content Writing,2023-09-07,2023-08
user_0002,4550.48,Direct Client,Translation,2023-10-15,2023-09
user_0002,3583.91,Local Agency,Data Analysis,2023-11-01,2023-10
user_0002,2746.03,Mostaql,Graphic Design,2023-12-02,2023-11
user_0002,394.96,Toptal,Data Analysis,2024-01-12,2023-12
user_0002,740.03,Khamsat,Mobile Dev,2024-01-06,2023-12
user_0002,500.0,PeoplePerHour,Accounting,2024-02-03,2024-01
user_0002,5388.71,Toptal,Data Analysis,2024-03-13,2024-02
user_0002,1400.44,Local Agency,Data Analysis,2024-05-10,2024-04
user_0002,1311.7,Direct Client,Accounting,2024-05-15,2024-04
user_0002,147.05,PeoplePerHour,Mobile Dev,2024-05-16,2024-04
user_0003,1852.99,Local Agency,Translation,2022-06-25,2022-06
user_0003,4681.64,Local Agency,Web Development,2022-07-25,2022-07
user_0003,12467.54,Toptal,UI/UX,2022-08-09,2022-07
user_0003,14993.01,Upwork,Video Editing,2022-09-23,2022-08
user_0003,6196.23,Local Agency,SEO,2022-10-11,2022-09
user_0003,7008.4,Khamsat,Graphic Design,2022-11-09,2022-10
user_0003,1326.19,Toptal,Graphic Design,2022-11-21,2022-10
user_0003,4100.41,PeoplePerHour,Graphic Design,2022-12-07,2022-11
user_0003,8805.59,Toptal,Content Writing,2023-01-16,2022-12
user_0003,2957.07,Toptal,Data Analysis,2023-02-07,2023-01
user_0003,3818.93,Toptal,Video Editing,2023-03-19,2023-02
user_0003,5028.17,Mostaql,Accounting,2023-03-28,2023-03
user_0003,3698.67,PeoplePerHour,Video Editing,2023-05-04,2023-04
user_0003,1085.41,Local Agency,Video Editing,2023-06-17,2023-05
user_0003,6651.72,Local Agency,Graphic Design,2023-06-07,2023-05
user_0003,9641.1,Khamsat,Mobile Dev,2023-07-16,2023-06
user_0003,13116.2,Freelancer.com,Data Analysis,2023-08-12,2023-07
user_0003,3787.22,Khamsat,Translation,2023-08-19,2023-07
user_0003,7467.38,Direct Client,Graphic Design,2023-09-09,2023-08
user_0003,3559.65,Freelancer.com,Translation,2023-08-29,2023-08
user_0003,4662.12,PeoplePerHour,Video Editing,2023-10-19,2023-09
user_0003,1711.35,Freelancer.com,UI/UX,2023-10-16,2023-09
user_0003,604.03,Khamsat,Data Analysis,2023-10-11,2023-09
user_0003,679.03,Mostaql,Video Editing,2023-11-13,2023-10
user_0003,2046.18,Direct Client,Graphic Design,2023-11-09,2023-10
user_0003,3594.71,Mostaql,Mobile Dev,2023-10-30,2023-10
user_0003,24071.92,Mostaql,Accounting,2023-12-18,2023-11
user_0003,7031.52,Toptal,SEO,2024-01-07,2023-12
user_0003,14103.89,Freelancer.com,Content Writing,2024-01-10,2023-12
user_0003,10594.91,PeoplePerHour,Content Writing,2024-02-12,2024-01
user_0003,247.16,Mostaql,SEO,2024-02-26,2024-02
user_0003,8538.99,Upwork,Graphic Design,2024-03-08,2024-02
user_0003,7132.07,Direct Client,Video Editing,2024-04-13,2024-03
user_0003,11298.69,Khamsat,Mobile Dev,2024-04-23,2024-04
user_0004,11330.42,Mostaql,Graphic Design,2022-06-01,2022-06
user_0004,2071.91,Freelancer.com,UI/UX,2022-07-19,2022-07
user_0004,1583.38,Direct Client,Mobile Dev,2022-07-02,2022-07
user_0004,1664.54,Upwork,Graphic Design,2022-08-08,2022-07
user_0004,942.98,Khamsat,UI/UX,2022-08-21,2022-07
user_0004,15566.3,Mostaql,SEO,2022-09-05,2022-08
user_0004,4074.49,Toptal,UI/UX,2022-10-17,2022-09
user_0004,3698.19,Toptal,Content Writing,2022-10-09,2022-09
user_0004,6471.59,PeoplePerHour,Web Development,2022-11-21,2022-10
user_0004,6386.3,Toptal,Video Editing,2023-01-16,2022-12
user_0004,10141.81,Khamsat,Translation,2022-12-28,2022-12
user_0004,5037.02,Mostaql,Accounting,2023-02-09,2023-01
user_0004,1613.04,Toptal,Graphic Design,2023-02-17,2023-01
user_0004,9518.39,Khamsat,Mobile Dev,2023-02-20,2023-01
user_0004,10869.14,Mostaql,SEO,2023-03-18,2023-02
user_0004,811.83,PeoplePerHour,Graphic Design,2023-03-08,2023-02
user_0004,706.12,Mostaql,Graphic Design,2023-04-30,2023-04
user_0004,770.31,Toptal,Translation,2023-05-02,2023-04
user_0004,8319.89,PeoplePerHour,UI/UX,2023-05-29,2023-05
user_0004,6992.7,Toptal,SEO,2023-08-04,2023-07
user_0004,6740.94,Mostaql,SEO,2023-09-01,2023-08
user_0004,3900.43,Mostaql,Data Analysis,2023-08-30,2023-08
user_0004,4162.06,Khamsat,SEO,2023-10-07,2023-09
user_0004,1080.61,Local Agency,Accounting,2023-10-31,2023-10
user_0004,7426.37,Toptal,Video Editing,2023-11-23,2023-11
user_0004,566.7,PeoplePerHour,SEO,2024-01-06,2023-12
user_0004,401.7,Mostaql,Data Analysis,2024-01-12,2023-12
user_0004,48.65,Direct Client,Translation,2024-01-02,2023-12
user_0004,2632.4,Local Agency,Accounting,2024-01-31,2024-01
user_0004,1693.42,Direct Client,Video Editing,2024-02-16,2024-01
user_0004,1497.79,Khamsat,SEO,2024-02-03,2024-01
user_0004,888.12,Mostaql,UI/UX,2024-03-09,2024-02
user_0004,609.32,Khamsat,Graphic Design,2024-05-16,2024-04
user_0005,1802.23,Upwork,Graphic Design,2022-06-16,2022-06
user_0005,2189.09,Toptal,Content Writing,2022-06-09,2022-06
user_0005,2651.94,Direct Client,UI/UX,2022-06-14,2022-06
user_0005,5721.24,Toptal,Video Editing,2022-07-01,2022-07
user_0005,3751.33,Local Agency,Video Editing,2022-07-16,2022-07
user_0005,14968.33,Upwork,Video Editing,2022-08-05,2022-07
user_0005,24285.63,Local Agency,UI/UX,2022-09-24,2022-08
user_0005,9553.5,Freelancer.com,Mobile Dev,2022-10-04,2022-09
user_0005,504.87,Upwork,Mobile Dev,2022-11-21,2022-10
user_0005,8642.66,Toptal,Video Editing,2022-11-16,2022-10
user_0005,7066.11,PeoplePerHour,Video Editing,2022-12-05,2022-11
user_0005,389.45,Mostaql,Accounting,2023-01-15,2022-12
user_0005,478.57,Local Agency,UI/UX,2023-01-03,2022-12
user_0005,21743.03,Mostaql,Translation,2023-01-06,2022-12
user_0005,17852.56,Upwork,Video Editing,2023-02-11,2023-01
user_0005,7396.42,Mostaql,Video Editing,2023-03-20,2023-02
user_0005,1176.17,Freelancer.com,UI/UX,2023-04-01,2023-03
user_0005,4717.98,Freelancer.com,Video Editing,2023-04-08,2023-03
user_0005,5088.53,Khamsat,Video Editing,2023-05-07,2023-04
user_0005,6495.02,Mostaql,SEO,2023-05-01,2023-04
user_0005,9551.98,PeoplePerHour,Mobile Dev,2023-06-01,2023-05
user_0005,1863.14,Mostaql,SEO,2023-06-17,2023-05
user_0005,10872.03,Upwork,Accounting,2023-07-19,2023-06
user_0005,7460.33,Mostaql,Accounting,2023-07-27,2023-07
user_0005,1054.61,Direct Client,Accounting,2023-08-05,2023-07
user_0005,331.43,Local Agency,Content Writing,2023-07-29,2023-07
user_0005,19544.59,Freelancer.com,Video Editing,2023-09-14,2023-08
user_0005,12381.18,PeoplePerHour,Data Analysis,2023-09-26,2023-09
user_0005,9976.65,Toptal,Content Writing,2023-11-07,2023-10
user_0005,6531.66,Toptal,Graphic Design,2023-12-10,2023-11
user_0005,5692.39,Direct Client,Content Writing,2024-01-16,2023-12
user_0005,3273.55,Freelancer.com,Web Development,2024-01-06,2023-12
user_0005,1393.22,PeoplePerHour,Content Writing,2024-01-24,2024-01
user_0005,2153.56,Mostaql,Graphic Design,2024-02-03,2024-01
user_0005,6941.01,Freelancer.com,Video Editing,2024-02-08,2024-01
user_0005,8565.73,Toptal,Content Writing,2024-02-21,2024-02
user_0005,9272.72,Direct Client,Mobile Dev,2024-04-01,2024-03
user_0005,560.95,Khamsat,Data Analysis,2024-05-08,2024-04
user_0005,1677.88,Direct Client,Graphic Design,2024-04-30,2024-04
user_0005,1499.26,Toptal,Accounting,2024-04-22,2024-04
user_0006,940.95,Upwork,UI/UX,2022-06-16,2022-06
user_0006,991.5,Upwork,UI/UX,2022-06-24,2022-06
user_0006,6146.35,Mostaql,Accounting,2022-07-17,2022-07
user_0006,5266.57,PeoplePerHour,UI/UX,2022-08-21,2022-07
user_0006,6333.72,Direct Client,Data Analysis,2022-09-21,2022-08
user_0006,2606.18,PeoplePerHour,Data Analysis,2022-09-11,2022-08
user_0006,18315.71,Khamsat,UI/UX,2022-10-22,2022-09
user_0006,478.54,Direct Client,Mobile Dev,2022-10-09,2022-09
user_0006,5954.3,Mostaql,Content Writing,2022-11-19,2022-10
user_0006,3414.35,PeoplePerHour,Graphic Design,2022-11-14,2022-10
user_0006,4210.63,Toptal,UI/UX,2022-12-19,2022-11
user_0006,2503.75,Toptal,Web Development,2022-12-07,2022-11
user_0006,1888.98,Khamsat,Content Writing,2023-01-03,2022-12
user_0006,12578.62,Khamsat,Content Writing,2023-01-06,2022-12
user_0006,5514.66,Upwork,Video Editing,2023-02-20,2023-01
